"time","surv","lower","upper","n.risk","n.event","n.censor"
1e-05,0.872340425531915,0.818961584432474,0.929198429428832,141,18,1
1.00001,0.807987443320544,0.745426119637029,0.875799346663032,122,9,1
2.00001,0.771916575315163,0.705488147580496,0.844599872144986,112,5,0
3.00001,0.735845707309781,0.666297171854245,0.812653764474751,107,5,0
4.00001,0.721417360107629,0.650804765350938,0.799691451527737,102,2,0
5.00001,0.670918144900095,0.597317392516175,0.753587896143498,100,7,0
7.00001,0.64206145049579,0.567224071819065,0.72677258722591,93,4,1
8.00001,0.627469144802704,0.552102997024624,0.713123329888167,88,2,0
9.00001,0.612876839109617,0.537062132769339,0.699393975107009,86,2,2
10.00001,0.433498252053144,0.357807998284626,0.525199926871523,82,24,58
