"time","surv","lower","upper","n.risk","n.event","n.censor"
2.00001,0.932098765432099,0.894152719496138,0.971655165361039,162,11,3
3.00001,0.869119119119119,0.818449179643285,0.922926019117785,148,10,2
4.00001,0.843556792086204,0.789036417382693,0.90184438360294,136,4,0
5.00001,0.798822719778602,0.738835629574114,0.863680245093638,132,7,0
6.00001,0.786041556262145,0.724736786011183,0.852532036591668,125,2,1
7.00001,0.766712665534387,0.703566216062098,0.835526632846396,122,3,0
8.00001,0.753826738382548,0.689564442779602,0.824077803678309,119,2,0
9.00001,0.74094081123071,0.67564632715986,0.812545356466252,117,2,0
10.00001,0.502551158921699,0.429935082703453,0.587432097295823,115,37,78
